№      A      B      Выигрыш A (x1,x2,x3)      Проигрыш B (y1,y2,y3)     v_up     v_low   
338    x1     y2     3429, 3321, 2885          3298, 3268, 3378          10.1450  9.6686  
339    x1     y2     3439, 3339, 2889          3307, 3278, 3391          10.1445  9.6696  
340    x1     y2     3449, 3357, 2893          3316, 3288, 3404          10.1441  9.6706  
341    x1     y2     3459, 3375, 2897          3325, 3298, 3417          10.1437  9.6716  
342    x1     y2     3469, 3393, 2901          3334, 3308, 3430          10.1433  9.6725  
343    x1     y2     3479, 3411, 2905          3343, 3318, 3443          10.1429  9.6735  
344    x1     y2     3489, 3429, 2909          3352, 3328, 3456          10.1424  9.6744  
345    x1     y2     3499, 3447, 2913          3361, 3338, 3469          10.1420  9.6754  
346    x1     y2     3509, 3465, 2917          3370, 3348, 3482          10.1416  9.6763  
347    x1     y2     3519, 3483, 2921          3379, 3358, 3495          10.1412  9.6772  
348    x1     y2     3529, 3501, 2925          3388, 3368, 3508          10.1408  9.6782  
349    x1     y2     3539, 3519, 2929          3397, 3378, 3521          10.1404  9.6791  
350    x1     y2     3549, 3537, 2933          3406, 3388, 3534          10.1400  9.6800  
351    x1     y2     3559, 3555, 2937          3415, 3398, 3547          10.1396  9.6809  
352    x1     y2     3569, 3573, 2941          3424, 3408, 3560          10.1506  9.6818  
353    x2     y2     3579, 3591, 2945          3425, 3426, 3571          10.1728  9.7025  
354    x2     y1     3588, 3592, 2962          3426, 3444, 3582          10.1469  9.6780  
355    x2     y1     3597, 3593, 2979          3427, 3462, 3593          10.1324  9.6535  
356    x1     y1     3606, 3594, 2996          3436, 3472, 3606          10.1292  9.6517  
357    x1     y1     3615, 3595, 3013          3445, 3482, 3619          10.1261  9.6499  
358    x1     y1     3624, 3596, 3030          3454, 3492, 3632          10.1229  9.6480  
359    x1     y1     3633, 3597, 3047          3463, 3502, 3645          10.1198  9.6462  
360    x1     y1     3642, 3598, 3064          3472, 3512, 3658          10.1167  9.6444  
361    x1     y1     3651, 3599, 3081          3481, 3522, 3671          10.1136  9.6427  
362    x1     y1     3660, 3600, 3098          3490, 3532, 3684          10.1105  9.6409  
363    x1     y1     3669, 3601, 3115          3499, 3542, 3697          10.1074  9.6391  
364    x1     y1     3678, 3602, 3132          3508, 3552, 3710          10.1044  9.6374  
365    x1     y1     3687, 3603, 3149          3517, 3562, 3723          10.1014  9.6356  
366    x1     y1     3696, 3604, 3166          3526, 3572, 3736          10.0984  9.6339  
367    x1     y1     3705, 3605, 3183          3535, 3582, 3749          10.0954  9.6322  
368    x1     y1     3714, 3606, 3200          3544, 3592, 3762          10.0924  9.6304  
369    x1     y1     3723, 3607, 3217          3553, 3602, 3775          10.0894  9.6287  
370    x1     y1     3732, 3608, 3234          3562, 3612, 3788          10.0865  9.6270  
371    x1     y1     3741, 3609, 3251          3571, 3622, 3801          10.0836  9.6253  
372    x1     y1     3750, 3610, 3268          3580, 3632, 3814          10.0806  9.6237  
373    x1     y1     3759, 3611, 3285          3589, 3642, 3827          10.0777  9.6220  
374    x1     y1     3768, 3612, 3302          3598, 3652, 3840          10.0749  9.6203  
375    x1     y1     3777, 3613, 3319          3607, 3662, 3853          10.0720  9.6187  
376    x1     y1     3786, 3614, 3336          3616, 3672, 3866          10.0691  9.6170  
377    x1     y1     3795, 3615, 3353          3625, 3682, 3879          10.0663  9.6154  
378    x1     y1     3804, 3616, 3370          3634, 3692, 3892          10.0635  9.6138  
379    x1     y1     3813, 3617, 3387          3643, 3702, 3905          10.0607  9.6121  
380    x1     y1     3822, 3618, 3404          3652, 3712, 3918          10.0579  9.6105  
381    x1     y1     3831, 3619, 3421          3661, 3722, 3931          10.0551  9.6089  
382    x1     y1     3840, 3620, 3438          3670, 3732, 3944          10.0524  9.6073  
383    x1     y1     3849, 3621, 3455          3679, 3742, 3957          10.0496  9.6057  
384    x1     y1     3858, 3622, 3472          3688, 3752, 3970          10.0469  9.6042  
385    x1     y1     3867, 3623, 3489          3697, 3762, 3983          10.0442  9.6026  
386    x1     y1     3876, 3624, 3506          3706, 3772, 3996          10.0415  9.6010  
387    x1     y1     3885, 3625, 3523          3715, 3782, 4009          10.0388  9.5995  
388    x1     y1     3894, 3626, 3540          3724, 3792, 4022          10.0361  9.5979  
389    x1     y1     3903, 3627, 3557          3733, 3802, 4035          10.0334  9.5964  
390    x1     y1     3912, 3628, 3574          3742, 3812, 4048          10.0308  9.5949  
391    x1     y1     3921, 3629, 3591          3751, 3822, 4061          10.0281  9.5934  
392    x1     y1     3930, 3630, 3608          3760, 3832, 4074          10.0255  9.5918  
393    x1     y1     3939, 3631, 3625          3769, 3842, 4087          10.0229  9.5903  
394    x1     y1     3948, 3632, 3642          3778, 3852, 4100          10.0203  9.5888  
395    x1     y1     3957, 3633, 3659          3787, 3862, 4113          10.0177  9.5873  
396    x1     y1     3966, 3634, 3676          3796, 3872, 4126          10.0152  9.5859  
397    x1     y1     3975, 3635, 3693          3805, 3882, 4139          10.0126  9.5844  
398    x1     y1     3984, 3636, 3710          3814, 3892, 4152          10.0101  9.5829  
399    x1     y1     3993, 3637, 3727          3823, 3902, 4165          10.0075  9.5815  
400    x1     y1     4002, 3638, 3744          3832, 3912, 4178          10.0050  9.5800  
401    x1     y1     4011, 3639, 3761          3841, 3922, 4191          10.0025  9.5786  
402    x1     y1     4020, 3640, 3778          3850, 3932, 4204          10.0000  9.5771  
403    x1     y1     4029, 3641, 3795          3859, 3942, 4217          9.9975   9.5757  
404    x1     y1     4038, 3642, 3812          3868, 3952, 4230          9.9950   9.5743  
405    x1     y1     4047, 3643, 3829          3877, 3962, 4243          9.9926   9.5728  
406    x1     y1     4056, 3644, 3846          3886, 3972, 4256          9.9901   9.5714  
407    x1     y1     4065, 3645, 3863          3895, 3982, 4269          9.9877   9.5700  
408    x1     y1     4074, 3646, 3880          3904, 3992, 4282          9.9853   9.5686  
409    x1     y1     4083, 3647, 3897          3913, 4002, 4295          9.9829   9.5672  
410    x1     y1     4092, 3648, 3914          3922, 4012, 4308          9.9805   9.5659  
411    x1     y1     4101, 3649, 3931          3931, 4022, 4321          9.9781   9.5645  
412    x1     y1     4110, 3650, 3948          3940, 4032, 4334          9.9757   9.5631  
413    x1     y1     4119, 3651, 3965          3949, 4042, 4347          9.9734   9.5617  
414    x1     y1     4128, 3652, 3982          3958, 4052, 4360          9.9710   9.5604  
415    x1     y1     4137, 3653, 3999          3967, 4062, 4373          9.9687   9.5590  
416    x1     y1     4146, 3654, 4016          3976, 4072, 4386          9.9663   9.5577  
417    x1     y1     4155, 3655, 4033          3985, 4082, 4399          9.9640   9.5564  
418    x1     y1     4164, 3656, 4050          3994, 4092, 4412          9.9617   9.5550  
419    x1     y1     4173, 3657, 4067          4003, 4102, 4425          9.9594   9.5537  
420    x1     y1     4182, 3658, 4084          4012, 4112, 4438          9.9571   9.5524  
421    x1     y1     4191, 3659, 4101          4021, 4122, 4451          9.9549   9.5511  
422    x1     y1     4200, 3660, 4118          4030, 4132, 4464          9.9526   9.5498  
423    x1     y1     4209, 3661, 4135          4039, 4142, 4477          9.9504   9.5485  
424    x1     y1     4218, 3662, 4152          4048, 4152, 4490          9.9481   9.5472  
425    x1     y1     4227, 3663, 4169          4057, 4162, 4503          9.9459   9.5459  
426    x1     y1     4236, 3664, 4186          4066, 4172, 4516          9.9437   9.5446  
427    x1     y1     4245, 3665, 4203          4075, 4182, 4529          9.9415   9.5433  
428    x1     y1     4254, 3666, 4220          4084, 4192, 4542          9.9393   9.5421  
429    x1     y1     4263, 3667, 4237          4093, 4202, 4555          9.9371   9.5408  
430    x1     y1     4272, 3668, 4254          4102, 4212, 4568          9.9349   9.5395  
431    x1     y1     4281, 3669, 4271          4111, 4222, 4581          9.9327   9.5383  
432    x1     y1     4290, 3670, 4288          4120, 4232, 4594          9.9306   9.5370  
433    x1     y1     4299, 3671, 4305          4129, 4242, 4607          9.9423   9.5358  
434    x3     y1     4308, 3672, 4322          4146, 4246, 4607          9.9585   9.5530  
435    x3     y1     4317, 3673, 4339          4163, 4250, 4607          9.9747   9.5701  
436    x3     y1     4326, 3674, 4356          4180, 4254, 4607          9.9908   9.5872  
437    x3     y1     4335, 3675, 4373          4197, 4258, 4607          10.0069  9.6041  
438    x3     y1     4344, 3676, 4390          4214, 4262, 4607          10.0228  9.6210  
439    x3     y1     4353, 3677, 4407          4231, 4266, 4607          10.0387  9.6378  
440    x3     y1     4362, 3678, 4424          4248, 4270, 4607          10.0545  9.6545  
441    x3     y1     4371, 3679, 4441          4265, 4274, 4607          10.0703  9.6712  
442    x3     y1     4380, 3680, 4458          4282, 4278, 4607          10.0860  9.6787  
443    x3     y2     4390, 3698, 4462          4299, 4282, 4607          10.0722  9.6659  
444    x3     y2     4400, 3716, 4466          4316, 4286, 4607          10.0586  9.6532  
445    x3     y2     4410, 3734, 4470          4333, 4290, 4607          10.0449  9.6404  
446    x3     y2     4420, 3752, 4474          4350, 4294, 4607          10.0314  9.6278  
447    x3     y2     4430, 3770, 4478          4367, 4298, 4607          10.0179  9.6152  
448    x3     y2     4440, 3788, 4482          4384, 4302, 4607          10.0045  9.6027  
449    x3     y2     4450, 3806, 4486          4401, 4306, 4607          9.9911   9.5902  
450    x3     y2     4460, 3824, 4490          4418, 4310, 4607          9.9778   9.5778  
451    x3     y2     4470, 3842, 4494          4435, 4314, 4607          9.9645   9.5654  
452    x3     y2     4480, 3860, 4498          4452, 4318, 4607          9.9513   9.5531  
453    x3     y2     4490, 3878, 4502          4469, 4322, 4607          9.9382   9.5408  
454    x3     y2     4500, 3896, 4506          4486, 4326, 4607          9.9251   9.5286  
455    x3     y2     4510, 3914, 4510          4503, 4330, 4607          9.9121   9.5165  
456    x1     y2     4520, 3932, 4514          4512, 4340, 4620          9.9123   9.5175  
457    x1     y2     4530, 3950, 4518          4521, 4350, 4633          9.9125   9.5186  
458    x1     y2     4540, 3968, 4522          4530, 4360, 4646          9.9127   9.5197  
459    x1     y2     4550, 3986, 4526          4539, 4370, 4659          9.9129   9.5207  
460    x1     y2     4560, 4004, 4530          4548, 4380, 4672          9.9130   9.5217  
461    x1     y2     4570, 4022, 4534          4557, 4390, 4685          9.9132   9.5228  
462    x1     y2     4580, 4040, 4538          4566, 4400, 4698          9.9134   9.5238  
463    x1     y2     4590, 4058, 4542          4575, 4410, 4711          9.9136   9.5248  
464    x1     y2     4600, 4076, 4546          4584, 4420, 4724          9.9138   9.5259  
465    x1     y2     4610, 4094, 4550          4593, 4430, 4737          9.9140   9.5269  
466    x1     y2     4620, 4112, 4554          4602, 4440, 4750          9.9142   9.5279  
467    x1     y2     4630, 4130, 4558          4611, 4450, 4763          9.9143   9.5289  
468    x1     y2     4640, 4148, 4562          4620, 4460, 4776          9.9145   9.5299  
469    x1     y2     4650, 4166, 4566          4629, 4470, 4789          9.9147   9.5309  
470    x1     y2     4660, 4184, 4570          4638, 4480, 4802          9.9149   9.5319  
471    x1     y2     4670, 4202, 4574          4647, 4490, 4815          9.9151   9.5329  
472    x1     y2     4680, 4220, 4578          4656, 4500, 4828          9.9153   9.5339  
473    x1     y2     4690, 4238, 4582          4665, 4510, 4841          9.9154   9.5349  
474    x1     y2     4700, 4256, 4586          4674, 4520, 4854          9.9156   9.5359  
475    x1     y2     4710, 4274, 4590          4683, 4530, 4867          9.9158   9.5368  
476    x1     y2     4720, 4292, 4594          4692, 4540, 4880          9.9160   9.5378  
477    x1     y2     4730, 4310, 4598          4701, 4550, 4893          9.9161   9.5388  
478    x1     y2     4740, 4328, 4602          4710, 4560, 4906          9.9163   9.5397  
479    x1     y2     4750, 4346, 4606          4719, 4570, 4919          9.9165   9.5407  
480    x1     y2     4760, 4364, 4610          4728, 4580, 4932          9.9167   9.5417  
481    x1     y2     4770, 4382, 4614          4737, 4590, 4945          9.9168   9.5426  
482    x1     y2     4780, 4400, 4618          4746, 4600, 4958          9.9170   9.5436  
483    x1     y2     4790, 4418, 4622          4755, 4610, 4971          9.9172   9.5445  
484    x1     y2     4800, 4436, 4626          4764, 4620, 4984          9.9174   9.5455  
485    x1     y2     4810, 4454, 4630          4773, 4630, 4997          9.9175   9.5464  
486    x1     y2     4820, 4472, 4634          4782, 4640, 5010          9.9177   9.5473  
487    x1     y2     4830, 4490, 4638          4791, 4650, 5023          9.9179   9.5483  
488    x1     y2     4840, 4508, 4642          4800, 4660, 5036          9.9180   9.5492  
489    x1     y2     4850, 4526, 4646          4809, 4670, 5049          9.9182   9.5501  
490    x1     y2     4860, 4544, 4650          4818, 4680, 5062          9.9184   9.5510  
491    x1     y2     4870, 4562, 4654          4827, 4690, 5075          9.9185   9.5519  
492    x1     y2     4880, 4580, 4658          4836, 4700, 5088          9.9187   9.5528  
493    x1     y2     4890, 4598, 4662          4845, 4710, 5101          9.9189   9.5538  
494    x1     y2     4900, 4616, 4666          4854, 4720, 5114          9.9190   9.5547  
495    x1     y2     4910, 4634, 4670          4863, 4730, 5127          9.9192   9.5556  
496    x1     y2     4920, 4652, 4674          4872, 4740, 5140          9.9194   9.5565  
497    x1     y2     4930, 4670, 4678          4881, 4750, 5153          9.9195   9.5573  
498    x1     y2     4940, 4688, 4682          4890, 4760, 5166          9.9197   9.5582  
499    x1     y2     4950, 4706, 4686          4899, 4770, 5179          9.9198   9.5591  
500    x1     y2     4960, 4724, 4690          4908, 4780, 5192          9.9200   9.5600  
501    x1     y2     4970, 4742, 4694          4917, 4790, 5205          9.9202   9.5609  
502    x1     y2     4980, 4760, 4698          4926, 4800, 5218          9.9203   9.5618  
503    x1     y2     4990, 4778, 4702          4935, 4810, 5231          9.9205   9.5626  
504    x1     y2     5000, 4796, 4706          4944, 4820, 5244          9.9206   9.5635  
505    x1     y2     5010, 4814, 4710          4953, 4830, 5257          9.9208   9.5644  
506    x1     y2     5020, 4832, 4714          4962, 4840, 5270          9.9209   9.5652  
507    x1     y2     5030, 4850, 4718          4971, 4850, 5283          9.9211   9.5661  
508    x1     y2     5040, 4868, 4722          4980, 4860, 5296          9.9213   9.5669  
509    x1     y2     5050, 4886, 4726          4989, 4870, 5309          9.9214   9.5678  
510    x1     y2     5060, 4904, 4730          4998, 4880, 5322          9.9216   9.5686  
511    x1     y2     5070, 4922, 4734          5007, 4890, 5335          9.9217   9.5695  
512    x1     y2     5080, 4940, 4738          5016, 4900, 5348          9.9219   9.5703  
513    x1     y2     5090, 4958, 4742          5025, 4910, 5361          9.9220   9.5712  
514    x1     y2     5100, 4976, 4746          5034, 4920, 5374          9.9222   9.5720  
515    x1     y2     5110, 4994, 4750          5043, 4930, 5387          9.9223   9.5728  
516    x1     y2     5120, 5012, 4754          5052, 4940, 5400          9.9225   9.5736  
517    x1     y2     5130, 5030, 4758          5061, 4950, 5413          9.9226   9.5745  
518    x1     y2     5140, 5048, 4762          5070, 4960, 5426          9.9228   9.5753  
519    x1     y2     5150, 5066, 4766          5079, 4970, 5439          9.9229   9.5761  
520    x1     y2     5160, 5084, 4770          5088, 4980, 5452          9.9231   9.5769  
521    x1     y2     5170, 5102, 4774          5097, 4990, 5465          9.9232   9.5777  
522    x1     y2     5180, 5120, 4778          5106, 5000, 5478          9.9234   9.5785  
523    x1     y2     5190, 5138, 4782          5115, 5010, 5491          9.9235   9.5793  
524    x1     y2     5200, 5156, 4786          5124, 5020, 5504          9.9237   9.5802  
525    x1     y2     5210, 5174, 4790          5133, 5030, 5517          9.9238   9.5810  
526    x1     y2     5220, 5192, 4794          5142, 5040, 5530          9.9240   9.5817  
527    x1     y2     5230, 5210, 4798          5151, 5050, 5543          9.9241   9.5825  
528    x1     y2     5240, 5228, 4802          5160, 5060, 5556          9.9242   9.5833  
529    x1     y2     5250, 5246, 4806          5169, 5070, 5569          9.9244   9.5841  
530    x1     y2     5260, 5264, 4810          5178, 5080, 5582          9.9321   9.5849  
531    x2     y2     5270, 5282, 4814          5179, 5098, 5593          9.9473   9.6008  
532    x2     y2     5280, 5300, 4818          5180, 5116, 5604          9.9624   9.6165  
533    x2     y2     5290, 5318, 4822          5181, 5134, 5615          9.9775   9.6323  
534    x2     y2     5300, 5336, 4826          5182, 5152, 5626          9.9925   9.6479  
535    x2     y2     5310, 5354, 4830          5183, 5170, 5637          10.0075  9.6636  
536    x2     y2     5320, 5372, 4834          5184, 5188, 5648          10.0224  9.6716  
537    x2     y1     5329, 5373, 4851          5185, 5206, 5659          10.0056  9.6555  
538    x2     y1     5338, 5374, 4868          5186, 5224, 5670          9.9888   9.6394  
539    x2     y1     5347, 5375, 4885          5187, 5242, 5681          9.9722   9.6234  
540    x2     y1     5356, 5376, 4902          5188, 5260, 5692          9.9556   9.6074  
541    x2     y1     5365, 5377, 4919          5189, 5278, 5703          9.9390   9.5915  
542    x2     y1     5374, 5378, 4936          5190, 5296, 5714          9.9225   9.5756  
543    x2     y1     5383, 5379, 4953          5191, 5314, 5725          9.9134   9.5599  
544    x1     y1     5392, 5380, 4970          5200, 5324, 5738          9.9118   9.5588  
545    x1     y1     5401, 5381, 4987          5209, 5334, 5751          9.9101   9.5578  
546    x1     y1     5410, 5382, 5004          5218, 5344, 5764          9.9084   9.5568  
547    x1     y1     5419, 5383, 5021          5227, 5354, 5777          9.9068   9.5558  
548    x1     y1     5428, 5384, 5038          5236, 5364, 5790          9.9051   9.5547  
549    x1     y1     5437, 5385, 5055          5245, 5374, 5803          9.9035   9.5537  
550    x1     y1     5446, 5386, 5072          5254, 5384, 5816          9.9018   9.5527  
551    x1     y1     5455, 5387, 5089          5263, 5394, 5829          9.9002   9.5517  
552    x1     y1     5464, 5388, 5106          5272, 5404, 5842          9.8986   9.5507  
553    x1     y1     5473, 5389, 5123          5281, 5414, 5855          9.8969   9.5497  
554    x1     y1     5482, 5390, 5140          5290, 5424, 5868          9.8953   9.5487  
555    x1     y1     5491, 5391, 5157          5299, 5434, 5881          9.8937   9.5477  
556    x1     y1     5500, 5392, 5174          5308, 5444, 5894          9.8921   9.5468  
557    x1     y1     5509, 5393, 5191          5317, 5454, 5907          9.8905   9.5458  
558    x1     y1     5518, 5394, 5208          5326, 5464, 5920          9.8889   9.5448  
559    x1     y1     5527, 5395, 5225          5335, 5474, 5933          9.8873   9.5438  
560    x1     y1     5536, 5396, 5242          5344, 5484, 5946          9.8857   9.5429  
561    x1     y1     5545, 5397, 5259          5353, 5494, 5959          9.8841   9.5419  
562    x1     y1     5554, 5398, 5276          5362, 5504, 5972          9.8826   9.5409  
563    x1     y1     5563, 5399, 5293          5371, 5514, 5985          9.8810   9.5400  
564    x1     y1     5572, 5400, 5310          5380, 5524, 5998          9.8794   9.5390  
565    x1     y1     5581, 5401, 5327          5389, 5534, 6011          9.8779   9.5381  
566    x1     y1     5590, 5402, 5344          5398, 5544, 6024          9.8763   9.5371  
567    x1     y1     5599, 5403, 5361          5407, 5554, 6037          9.8748   9.5362  
568    x1     y1     5608, 5404, 5378          5416, 5564, 6050          9.8732   9.5352  
569    x1     y1     5617, 5405, 5395          5425, 5574, 6063          9.8717   9.5343  
570    x1     y1     5626, 5406, 5412          5434, 5584, 6076          9.8702   9.5333  
571    x1     y1     5635, 5407, 5429          5443, 5594, 6089          9.8687   9.5324  
572    x1     y1     5644, 5408, 5446          5452, 5604, 6102          9.8671   9.5315  
573    x1     y1     5653, 5409, 5463          5461, 5614, 6115          9.8656   9.5305  
574    x1     y1     5662, 5410, 5480          5470, 5624, 6128          9.8641   9.5296  
575    x1     y1     5671, 5411, 5497          5479, 5634, 6141          9.8626   9.5287  
576    x1     y1     5680, 5412, 5514          5488, 5644, 6154          9.8611   9.5278  
577    x1     y1     5689, 5413, 5531          5497, 5654, 6167          9.8596   9.5269  
578    x1     y1     5698, 5414, 5548          5506, 5664, 6180          9.8581   9.5260  
579    x1     y1     5707, 5415, 5565          5515, 5674, 6193          9.8566   9.5250  
580    x1     y1     5716, 5416, 5582          5524, 5684, 6206          9.8552   9.5241  
581    x1     y1     5725, 5417, 5599          5533, 5694, 6219          9.8537   9.5232  
582    x1     y1     5734, 5418, 5616          5542, 5704, 6232          9.8522   9.5223  
583    x1     y1     5743, 5419, 5633          5551, 5714, 6245          9.8508   9.5214  
584    x1     y1     5752, 5420, 5650          5560, 5724, 6258          9.8493   9.5205  
585    x1     y1     5761, 5421, 5667          5569, 5734, 6271          9.8479   9.5197  
586    x1     y1     5770, 5422, 5684          5578, 5744, 6284          9.8464   9.5188  
587    x1     y1     5779, 5423, 5701          5587, 5754, 6297          9.8450   9.5179  
588    x1     y1     5788, 5424, 5718          5596, 5764, 6310          9.8435   9.5170  
589    x1     y1     5797, 5425, 5735          5605, 5774, 6323          9.8421   9.5161  
590    x1     y1     5806, 5426, 5752          5614, 5784, 6336          9.8407   9.5153  
591    x1     y1     5815, 5427, 5769          5623, 5794, 6349          9.8393   9.5144  
592    x1     y1     5824, 5428, 5786          5632, 5804, 6362          9.8378   9.5135  
593    x1     y1     5833, 5429, 5803          5641, 5814, 6375          9.8364   9.5126  
594    x1     y1     5842, 5430, 5820          5650, 5824, 6388          9.8350   9.5118  
595    x1     y1     5851, 5431, 5837          5659, 5834, 6401          9.8336   9.5109  
596    x1     y1     5860, 5432, 5854          5668, 5844, 6414          9.8322   9.5101  
597    x1     y1     5869, 5433, 5871          5677, 5854, 6427          9.8342   9.5092  
598    x3     y1     5878, 5434, 5888          5694, 5858, 6427          9.8462   9.5217  
599    x3     y1     5887, 5435, 5905          5711, 5862, 6427          9.8581   9.5342  
600    x3     y1     5896, 5436, 5922          5728, 5866, 6427          9.8700   9.5467  
601    x3     y1     5905, 5437, 5939          5745, 5870, 6427          9.8819   9.5591  
602    x3     y1     5914, 5438, 5956          5762, 5874, 6427          9.8937   9.5714  
603    x3     y1     5923, 5439, 5973          5779, 5878, 6427          9.9055   9.5837  
604    x3     y1     5932, 5440, 5990          5796, 5882, 6427          9.9172   9.5960  
605    x3     y1     5941, 5441, 6007          5813, 5886, 6427          9.9289   9.6083  
606    x3     y1     5950, 5442, 6024          5830, 5890, 6427          9.9406   9.6205  
607    x3     y1     5959, 5443, 6041          5847, 5894, 6427          9.9522   9.6326  
608    x3     y1     5968, 5444, 6058          5864, 5898, 6427          9.9638   9.6447  
609    x3     y1     5977, 5445, 6075          5881, 5902, 6427          9.9754   9.6568  
610    x3     y1     5986, 5446, 6092          5898, 5906, 6427          9.9869   9.6689  
611    x3     y1     5995, 5447, 6109          5915, 5910, 6427          9.9984   9.6727  
612    x3     y2     6005, 5465, 6113          5932, 5914, 6427          9.9886   9.6634  
613    x3     y2     6015, 5483, 6117          5949, 5918, 6427          9.9788   9.6542  
614    x3     y2     6025, 5501, 6121          5966, 5922, 6427          9.9691   9.6450  
615    x3     y2     6035, 5519, 6125          5983, 5926, 6427          9.9593   9.6358  
616    x3     y2     6045, 5537, 6129          6000, 5930, 6427          9.9497   9.6266  
617    x3     y2     6055, 5555, 6133          6017, 5934, 6427          9.9400   9.6175  
618    x3     y2     6065, 5573, 6137          6034, 5938, 6427          9.9304   9.6084  
619    x3     y2     6075, 5591, 6141          6051, 5942, 6427          9.9208   9.5994  
620    x3     y2     6085, 5609, 6145          6068, 5946, 6427          9.9113   9.5903  
621    x3     y2     6095, 5627, 6149          6085, 5950, 6427          9.9018   9.5813  
622    x3     y2     6105, 5645, 6153          6102, 5954, 6427          9.8923   9.5723  
623    x3     y2     6115, 5663, 6157          6119, 5958, 6427          9.8828   9.5634  
624    x3     y2     6125, 5681, 6161          6136, 5962, 6427          9.8734   9.5545  
625    x3     y2     6135, 5699, 6165          6153, 5966, 6427          9.8640   9.5456  
626    x3     y2     6145, 5717, 6169          6170, 5970, 6427          9.8546   9.5367  
627    x3     y2     6155, 5735, 6173          6187, 5974, 6427          9.8453   9.5279  
628    x3     y2     6165, 5753, 6177          6204, 5978, 6427          9.8360   9.5191  
629    x3     y2     6175, 5771, 6181          6221, 5982, 6427          9.8267   9.5103  
630    x3     y2     6185, 5789, 6185          6238, 5986, 6427          9.8175   9.5016  
631    x1     y2     6195, 5807, 6189          6247, 5996, 6440          9.8177   9.5024  
632    x1     y2     6205, 5825, 6193          6256, 6006, 6453          9.8180   9.5032  
633    x1     y2     6215, 5843, 6197          6265, 6016, 6466          9.8183   9.5039  
634    x1     y2     6225, 5861, 6201          6274, 6026, 6479          9.8186   9.5047  
635    x1     y2     6235, 5879, 6205          6283, 6036, 6492          9.8189   9.5055  
636    x1     y2     6245, 5897, 6209          6292, 6046, 6505          9.8192   9.5063  
637    x1     y2     6255, 5915, 6213          6301, 6056, 6518          9.8195   9.5071  
638    x1     y2     6265, 5933, 6217          6310, 6066, 6531          9.8197   9.5078  
639    x1     y2     6275, 5951, 6221          6319, 6076, 6544          9.8200   9.5086  
640    x1     y2     6285, 5969, 6225          6328, 6086, 6557          9.8203   9.5094  
641    x1     y2     6295, 5987, 6229          6337, 6096, 6570          9.8206   9.5101  
642    x1     y2     6305, 6005, 6233          6346, 6106, 6583          9.8209   9.5109  
643    x1     y2     6315, 6023, 6237          6355, 6116, 6596          9.8212   9.5117  
644    x1     y2     6325, 6041, 6241          6364, 6126, 6609          9.8214   9.5124  
645    x1     y2     6335, 6059, 6245          6373, 6136, 6622          9.8217   9.5132  
646    x1     y2     6345, 6077, 6249          6382, 6146, 6635          9.8220   9.5139  
647    x1     y2     6355, 6095, 6253          6391, 6156, 6648          9.8223   9.5147  
648    x1     y2     6365, 6113, 6257          6400, 6166, 6661          9.8225   9.5154  
649    x1     y2     6375, 6131, 6261          6409, 6176, 6674          9.8228   9.5162  
650    x1     y2     6385, 6149, 6265          6418, 6186, 6687          9.8231   9.5169  
651    x1     y2     6395, 6167, 6269          6427, 6196, 6700          9.8233   9.5177  
652    x1     y2     6405, 6185, 6273          6436, 6206, 6713          9.8236   9.5184  
653    x1     y2     6415, 6203, 6277          6445, 6216, 6726          9.8239   9.5191  
654    x1     y2     6425, 6221, 6281          6454, 6226, 6739          9.8242   9.5199  
655    x1     y2     6435, 6239, 6285          6463, 6236, 6752          9.8244   9.5206  
656    x1     y2     6445, 6257, 6289          6472, 6246, 6765          9.8247   9.5213  
657    x1     y2     6455, 6275, 6293          6481, 6256, 6778          9.8250   9.5221  
658    x1     y2     6465, 6293, 6297          6490, 6266, 6791          9.8252   9.5228  
659    x1     y2     6475, 6311, 6301          6499, 6276, 6804          9.8255   9.5235  
660    x1     y2     6485, 6329, 6305          6508, 6286, 6817          9.8258   9.5242  
661    x1     y2     6495, 6347, 6309          6517, 6296, 6830          9.8260   9.5250  
662    x1     y2     6505, 6365, 6313          6526, 6306, 6843          9.8263   9.5257  
663    x1     y2     6515, 6383, 6317          6535, 6316, 6856          9.8265   9.5264  
664    x1     y2     6525, 6401, 6321          6544, 6326, 6869          9.8268   9.5271  
665    x1     y2     6535, 6419, 6325          6553, 6336, 6882          9.8271   9.5278  
666    x1     y2     6545, 6437, 6329          6562, 6346, 6895          9.8273   9.5285  
667    x1     y2     6555, 6455, 6333          6571, 6356, 6908          9.8276   9.5292  
668    x1     y2     6565, 6473, 6337          6580, 6366, 6921          9.8278   9.5299  
669    x1     y2     6575, 6491, 6341          6589, 6376, 6934          9.8281   9.5306  
670    x1     y2     6585, 6509, 6345          6598, 6386, 6947          9.8284   9.5313  
671    x1     y2     6595, 6527, 6349          6607, 6396, 6960          9.8286   9.5320  
672    x1     y2     6605, 6545, 6353          6616, 6406, 6973          9.8289   9.5327  
673    x1     y2     6615, 6563, 6357          6625, 6416, 6986          9.8291   9.5334  
674    x1     y2     6625, 6581, 6361          6634, 6426, 6999          9.8294   9.5341  
675    x1     y2     6635, 6599, 6365          6643, 6436, 7012          9.8296   9.5348  
676    x1     y2     6645, 6617, 6369          6652, 6446, 7025          9.8299   9.5355  
677    x1     y2     6655, 6635, 6373          6661, 6456, 7038          9.8301   9.5362  
